,left_enterprise_name_code,left_enterprise_id,similarity,right_RequestId,right_RequestNameCode
72,"['0272320', '0227700', '0244010', '0772100', '0507160', '0174070']",30904685-9,0.61691743,c,"['0306060', '0401000', '0002990', '0507160', '0174070', '0101020', '0321000', '0234070', '0772320', '0000000', '0607120', '0227700', '0000000']"
73,"['0002000', '0409040', '0244010', '0002270', '0000000', '0108040', '0351070', '0000000', '0252070', '0210270', '0500070', '0274270', '0722210']",71419976-2,0.6164571,c,"['0306060', '0401000', '0002990', '0507160', '0174070', '0101020', '0321000', '0234070', '0772320', '0000000', '0607120', '0227700', '0000000']"
74,"['0211000', '0381570', '0176020', '0321000', '0500060', '0277100', '0507160', '0174070', '0449000', '0949000']",70301070-7,0.6144639,c,"['0306060', '0401000', '0002990', '0507160', '0174070', '0101020', '0321000', '0234070', '0772320', '0000000', '0607120', '0227700', '0000000']"
75,"['0000000', '0000000', '0000000', '0000000', '0443300', '0320000', '0000000', '0553310', '0101020', '0540470', '0439000']",73333849-8,0.6134869,c,"['0306060', '0401000', '0002990', '0507160', '0174070', '0101020', '0321000', '0234070', '0772320', '0000000', '0607120', '0227700', '0000000']"
76,"['0000000', '0000000', '0000000', '0409170', '0320000', '0171020', '0530120', '0260000', '0147270', '0242100']",69171572-5,0.61319435,c,"['0306060', '0401000', '0002990', '0507160', '0174070', '0101020', '0321000', '0234070', '0772320', '0000000', '0607120', '0227700', '0000000']"
77,"['0729040', '0806010', '0249000', '0000000', '0108040', '0351070', '0000000', '0902120', '0507160']",72446680-X,0.6123804,c,"['0306060', '0401000', '0002990', '0507160', '0174070', '0101020', '0321000', '0234070', '0772320', '0000000', '0607120', '0227700', '0000000']"
78,"['0212200', '0727400', '0621270', '0621270', '0271060', '0000000', '0002000', '0320000', '0000000', '0251000', '0403330', '0371160', '0321000', '0104400', '0234070']",MA59THQJ-X,0.6115972,c,"['0306060', '0401000', '0002990', '0507160', '0174070', '0101020', '0321000', '0234070', '0772320', '0000000', '0607120', '0227700', '0000000']"
79,"['0404070', '0867270', '0377170', '0000000', '0002000', '0320000', '0000000', '0807320', '0606600']",61842640-9,0.6113384,c,"['0306060', '0401000', '0002990', '0507160', '0174070', '0101020', '0321000', '0234070', '0772320', '0000000', '0607120', '0227700', '0000000']"
80,"['0237500', '0772670', '0227700', '0234070', '0772320', '0000000', '0530120', '0772470', '0000000']",78226622-4,0.6111503,c,"['0306060', '0401000', '0002990', '0507160', '0174070', '0101020', '0321000', '0234070', '0772320', '0000000', '0607120', '0227700', '0000000']"
81,"['0211000', '0381570', '0002270', '0409040', '0371200', '0000000', '0209040', '0602400', '0000000']",MA1FL54J-1,0.61061746,c,"['0306060', '0401000', '0002990', '0507160', '0174070', '0101020', '0321000', '0234070', '0772320', '0000000', '0607120', '0227700', '0000000']"
82,"['0202610', '0229000', '0000000', '0212100', '0503400', '0000000', '0002270', '0021270', '0601020', '0109010', '0249000', '0540470']",MA64AF3G-7,0.6103475,c,"['0306060', '0401000', '0002990', '0507160', '0174070', '0101020', '0321000', '0234070', '0772320', '0000000', '0607120', '0227700', '0000000']"
83,"['0602120', '0220000', '0601030', '0002990', '0407320', '0002140', '0407320', '0321000']",07243407-8,0.6099378,c,"['0306060', '0401000', '0002990', '0507160', '0174070', '0101020', '0321000', '0234070', '0772320', '0000000', '0607120', '0227700', '0000000']"
